"Börsdata ID","Bolagsnamn","ROIC - Senaste","Nettoskuld - Senaste","EV/EBIT - Senaste","EV/FCF - Senaste","Capex - Per Aktie","P/B - Senaste","PEG - Senaste","Börsvärde - Senaste","RSI - RSI(14)","MA -  5/20","MA -  50/200","Kursutveck. - Utveck.  1m"
"1664","Nosium","-58,9%","-8%","-0,1","-0,1","-1,84","0,1",,"5","18,8","-52,5%","-21,3%","-74,4%"
"162","NOTE","15,9%","7%","14,6","11,1","-4,89","3,0","-0,9","5011","55,7","0,5%","14,4%","11,8%"
"2123","Nowonomics","-142,3%","-23%","-4,6","-7,1","-0,14","4,5",,"94","57,0","7,1%","4,8%","0,0%"
"164","Novotek","54,9%","-22%","6,9","9,2","-1,27","3,5","0,1","806","47,4","0,6%","11,7%","-4,8%"
"562","Novus","-10,9%","-16%","-34,8","-10,2","-0,16","2,8",,"29","46,6","2,1%","-3,3%","-7,9%"
"441","NP3 Fastigheter","3,2%","51%","29,9","-16,0","-43,88","1,4","1,1","24927","52,5","0,1%","-1,8%","-8,7%"
"1338","NYAB","9,8%","-6%","12,6","14,2","-0,01","1,7","0,2","3879","51,0","-1,2%",,"4,6%"
"1750","Nyfosa","2,6%","50%","29,5","50,6","-2,89","1,0","552,0","18385","48,8","1,0%","-8,7%","-11,1%"
"581","Obducat","-4150,6%","21%","-24,9","13,8","-0,04","492,1",,"116","47,1","0,0%","-31,3%","4,6%"
"2510","Observit","3,3%","-8%","114,1","-220,1","-0,01","13,1","1,8","239","46,4","1,3%","27,7%","2,6%"
"1912","ODI Pharma",,"-81%","-14,3","-13,2",,"109,4",,"49","63,3","15,8%","-30,7%","33,0%"
"2183","Odinwell","-17,8%","-18%","-1,3","-1,2","-0,08","0,4",,"12","28,3","-38,6%","-12,8%","-49,4%"
"168","OEM International","29,2%","-13%","25,2","30,8","-0,49","8,2","-197,3","19712","61,7","-0,1%","7,9%","6,1%"
"343","Ogunsen","48,8%","-14%","10,8","13,2","-0,18","4,3","-0,3","306","37,1","-1,6%","-7,9%","-6,3%"
"1406","Oncopeptides","-1990,1%","-23%","-1,2","-1,3","0,00","7,5",,"406","69,7","0,2%","-20,1%","13,1%"
"2078","OncoZenge","-142,7%","-34%","-6,7","-6,7",,"6,3",,"62","40,6","-1,6%","3,0%","-14,9%"
"2381","Oneflow","-180,0%","-35%","-6,9","-7,2","-1,86","4,5",,"663","37,1","-5,4%","-11,3%","-22,0%"
"325","Online Brands Nordic","-4,5%","2%","116,9","13,6","-0,15","1,8",,"331","46,7","-0,4%","9,7%","-4,7%"
"1935","oodash Group","-114,2%","12%","-4,5","-8,2","9,78","1,7",,"241","56,6","0,2%","104,3%","-7,4%"
"2309","Opter","721,2%","-66%","28,8","38,7",,"20,2","1,5","651","38,2","-0,3%","5,0%","-6,9%"
"474","OptiCept Technologies","-16,1%","-1%","-4,0","-3,8","-0,20","0,6",,"260","41,9","-0,4%","-17,0%","-9,5%"
"170","Orexo","-84,4%","57%","-6,0","-22,0","-0,16","-3,9",,"503","37,7","-1,4%","4,7%","-14,7%"
"605","OrganoClick","-43,7%","39%","-28,7","-51,3","-0,09","8,0",,"233","54,3","-0,8%","-17,3%","-3,3%"
"132","Orrön Energy","-3,2%","15%","-10,7","7,1","0,11","0,4",,"1381","44,1","-2,8%","-20,7%","-19,8%"
"1624","Ortivus A","-106,3%","57%","-8,9","-10,0","-0,17","-19,4",,"137","63,5","6,4%","-14,8%","14,8%"
"172","Ortivus B","-106,3%","57%","-5,7","-6,4","-0,17","-10,6",,"75","48,1","-2,0%","-3,0%","2,4%"
"475","Ortoma","-3,9%","-10%","-46,3","-9,8","-0,31","2,1",,"346","50,0","-3,0%","-1,3%","10,4%"
